value,identifier_type_id,main_identifier,identifiable_type,identifiable_id
767870918902,2,true,Product,251
7800006009839,1,true,Product,252
7800006009846,1,true,Product,253
7804656250467,1,true,Product,254
7804656250627,1,true,Product,255
7805292097652,1,true,Product,256
7805292097669,1,true,Product,257
7806868180877,1,true,Product,258
7806868180877az,3,true,Offer,74
7806868180877pi,3,true,Offer,75
781718841511,2,true,Product,259
7852052606081,1,true,Product,260
7852052607859,1,true,Product,261
7852052609082,1,true,Product,262
7852052609082LA,3,true,Offer,76
7852052609082LB,3,true,Offer,77
7852052609082MA,3,true,Offer,78
7852052609082MB,3,true,Offer,79
7852052609082MC,3,true,Offer,80
7852052609082SA,3,true,Offer,81
7852052609082SB,3,true,Offer,82
7852052609082XA,3,true,Offer,83
7852052609082XB,3,true,Offer,84
7852052609273,1,true,Product,263
7852052609273az,3,true,Offer,85
7852052609273ne,3,true,Offer,86
7852052609273ro,3,true,Offer,87
7852052610415,1,true,Product,264
7852052610415az,3,true,Offer,88
7852052610415cc,3,true,Offer,89
7852052610415cn,3,true,Offer,90
7852052610415ne,3,true,Offer,91
7852052610415ro,3,true,Offer,92
7852052610446,1,true,Product,265
7852052610538,1,true,Product,266
7852052610538am,3,true,Offer,93
7852052610538az,3,true,Offer,94
7852052610538pi,3,true,Offer,95
7852052610538ro,3,true,Offer,96
7852052610538ve,3,true,Offer,97
7852052610569,1,true,Product,267
7852052610569az,3,true,Offer,98
7852052610569G,3,true,Product,268
7852052610569Gaz,3,true,Offer,99
7852052610569Gpi,3,true,Offer,100
7852052610569Gro,3,true,Offer,101
7852052610569pi,3,true,Offer,102
7852052610569ro,3,true,Offer,103
7852052610569ve,3,true,Offer,104
7852052612525ne,3,true,Product,269
7852052614499,1,true,Product,270
7852052614499ro,3,true,Offer,105
7852052614499ve,3,true,Offer,106
7852052616578,1,true,Product,271
7852052616578az,3,true,Offer,107
7852052616578ro,3,true,Offer,108
7852052616578ve,3,true,Offer,109
7852052617070,1,true,Product,272
7852052618374,1,true,Product,273
7852052618381,1,true,Product,274
7852052618398,1,true,Product,275
7852052618398SKU,3,true,Product,276
7852052619647,1,true,Product,277
7852052630451,1,true,Product,278
7852052630451az,3,true,Offer,110
7852052630451ne,3,true,Offer,111
7852052630451ro,3,true,Offer,112
7852052630451ve,3,true,Offer,113
7852052630536,1,true,Product,279
7852052630536az,3,true,Offer,114
7852052630536ve,3,true,Offer,115
7852052630772,1,true,Product,280
7852052631120,1,true,Product,281
7852052631120ce,3,true,Offer,116
7852052631120ro,3,true,Offer,117
7852052631205,1,true,Product,282
7852052631212,1,true,Product,283
7852052631250,1,true,Product,284
7852052631250ce,3,true,Offer,118
7852052631250gr,3,true,Offer,119
7852052632004,1,true,Product,285
7852052632202,1,true,Product,286
7852052632202pi,3,true,Offer,120
7852052651470,1,true,Product,287
7852052651470m1,3,true,Product,288
7852052651470m2,3,true,Product,289
7852052651470p2,3,true,Product,290
7852052651876,1,true,Product,291
7852052651906,1,true,Product,292
7852052653238,1,true,Product,293
7852052660625,1,true,Product,294
7852052660632,1,true,Product,295
7852052660687,1,true,Product,296
7852052660694,1,true,Product,297
7852052660755,1,true,Product,298
7852052660878,1,true,Product,299
7852052660878na,3,true,Offer,121
7852052660878ve,3,true,Offer,122
7852052661592,1,true,Product,300
7852052661691,1,true,Product,301
7852052670655,1,true,Product,302
7852052680524ro,3,true,Product,303
7852052680531,1,true,Product,304
7852052691421,1,true,Product,305
7852052700086,1,true,Product,306
7852052700086aq,3,true,Offer,123
7852052700086az,3,true,Offer,124
7852052700086ma,3,true,Offer,125
7852052700086na,3,true,Offer,126
7852052700086ne,3,true,Offer,127
7852052700086ro,3,true,Offer,128
7852052700215,1,true,Product,307
7852052700215az,3,true,Offer,129
7852052700215ne,3,true,Offer,130
7852052700215ro,3,true,Offer,131
7852052700710,1,true,Product,308
7852052700710az,3,true,Offer,132
7852052700710ma,3,true,Offer,133
7852052700710ro,3,true,Offer,134
7852052700734,1,true,Product,309
7852052700734az,3,true,Offer,135
7852052700734ce,3,true,Offer,136
7852052700734ma,3,true,Offer,137
7852052700734ne,3,true,Offer,138
7852052700734pi,3,true,Offer,139
7852052700734ro,3,true,Offer,140
7852052700994,1,true,Product,310
7852052700994az,3,true,Offer,141
7852052700994na,3,true,Offer,142
7852052700994ro,3,true,Offer,143
7852052701076,1,true,Product,311
7852052701076az,3,true,Offer,144
7852052701076ma,3,true,Offer,145
7852052701076ne,3,true,Offer,146
7852052701076pi,3,true,Offer,147
7852052710399,1,true,Product,312
7852052710399az,3,true,Offer,148
7852052710399pi,3,true,Offer,149
7852052710399ve,3,true,Offer,150
7852052721470,1,true,Product,313
7852052721470aq,3,true,Offer,151
7852052721470pi,3,true,Offer,152
7852052721470ro,3,true,Offer,153
7852052721470vi,3,true,Offer,154
7852052721494,1,true,Product,314
7852052721494az,3,true,Offer,155
7852052721494ca,3,true,Offer,156
7852052721494ma,3,true,Offer,157
7852052721494pi,3,true,Offer,158
7852052721500,1,true,Product,315
7852052721500az,3,true,Offer,159
7852052721500ca,3,true,Offer,160
7852052721500ma,3,true,Offer,161
7852052721500pi,3,true,Offer,162
7852052721548,1,true,Product,316
7852052721906,1,true,Product,317
7852052721920,1,true,Product,318
7852052731370,1,true,Product,319
7852052731370am,3,true,Offer,163
7852052731370az,3,true,Offer,164
7852052731370na,3,true,Offer,165
7852052731370ne,3,true,Offer,166
7852052731370pi,3,true,Offer,167
7852052731370ro,3,true,Offer,168
7852052731387,1,true,Product,320
7852052731387am,3,true,Offer,169
7852052731387az,3,true,Offer,170
7852052731387na,3,true,Offer,171
7852052731387ne,3,true,Offer,172
7852052731387pi,3,true,Offer,173
7852052731387ro,3,true,Offer,174
7852052731431ve,3,true,Product,321
7852052731578,1,true,Product,322
7852052731578az,3,true,Offer,175
7852052731578ne,3,true,Offer,176
7852052731578ve,3,true,Offer,177
7852052731585ro,3,true,Product,323
7852052732438,1,true,Product,324
7852052732438ce,3,true,Offer,178
7852052732438ro,3,true,Offer,179
7852052732438ve,3,true,Offer,180
7852052733954,1,true,Product,325
7852052733954az,3,true,Offer,181
7852052733954na,3,true,Offer,182
7852052733954ne,3,true,Offer,183
7852052733954pi,3,true,Offer,184
7852052733961,1,true,Product,326
7852052733961az,3,true,Offer,185
7852052733961na,3,true,Offer,186
7852052733961ne,3,true,Offer,187
7852052733961pi,3,true,Offer,188
7852052733978,1,true,Product,327
7852052733978az,3,true,Offer,189
7852052733978na,3,true,Offer,190
7852052733978ne,3,true,Offer,191
7852052733978pi,3,true,Offer,192
7852052733985,1,true,Product,328
7852052733985az,3,true,Offer,193
7852052733985na,3,true,Offer,194
7852052733985ne,3,true,Offer,195
7852052733985pi,3,true,Offer,196
7852052740785na,3,true,Product,329
7852052740785ro,3,true,Product,330
7852052740792,1,true,Product,331
7852052740792na,3,true,Offer,197
7852052740792ro,3,true,Offer,198
7852052741133,1,true,Product,332
7852052741485,1,true,Product,333
7852052742079,1,true,Product,334
7852052742079am,3,true,Offer,199
7852052742079ro,3,true,Offer,200
7852052742109,1,true,Product,335
7852052742109az,3,true,Offer,201
7852052742109ce,3,true,Offer,202
7852052742109ro,3,true,Offer,203
7852052742185,1,true,Product,336
7852052742383,1,true,Product,337
7852052742383az,3,true,Offer,204
7852052742383na,3,true,Offer,205
7852052742383ne,3,true,Offer,206
7852052742383pi,3,true,Offer,207
7852052742383ro,3,true,Offer,208
7852052742383ve,3,true,Offer,209
7852052742574,1,true,Product,338
7852052742598,1,true,Product,339
7852052742598az,3,true,Offer,210
7852052742598ne,3,true,Offer,211
7852052742758,1,true,Product,340
7852052743069,1,true,Product,341
7852052744400,1,true,Product,342
7852052744400ce,3,true,Offer,212
7852052744400ma,3,true,Offer,213
7852052744400ne,3,true,Offer,214
7852052744400ve,3,true,Offer,215
7852052744448,1,true,Product,343
7852052744448az,3,true,Offer,216
7852052744448gr,3,true,Offer,217
7852052744448ne,3,true,Offer,218
7852052744448ro,3,true,Offer,219
7852052744493,1,true,Product,344
7852052744493az,3,true,Offer,220
7852052744493bl,3,true,Offer,221
7852052744493ne,3,true,Offer,222
7852052744493ro,3,true,Offer,223
7852052744738,1,true,Product,345
7852052744745,1,true,Product,346
7852052744745am,3,true,Offer,224
7852052744745az,3,true,Offer,225
7852052744745ro,3,true,Offer,226
7852052744745ve,3,true,Offer,227
7852052744790,1,true,Product,347
7852052744790am,3,true,Offer,228
7852052744790az,3,true,Offer,229
7852052744790na,3,true,Offer,230
7852052744790ro,3,true,Offer,231
7852052744790ve,3,true,Offer,232
7852052744806,1,true,Product,348
7852052744820,1,true,Product,349
7852052744875,1,true,Product,350
7852052744875az,3,true,Offer,233
7852052744875ce,3,true,Offer,234
7852052744875ro,3,true,Offer,235
7852052744875ve,3,true,Offer,236
7852052744882,1,true,Product,351
7852052744882az,3,true,Offer,237
7852052744882ce,3,true,Offer,238
7852052744882ro,3,true,Offer,239
7852052744882ve,3,true,Offer,240
7852052744967,1,true,Product,352
7852052744974,1,true,Product,353
7852052745360,1,true,Product,354
7852052745360ce,3,true,Offer,241
7852052745360ve,3,true,Offer,242
7852052745452,1,true,Product,355
7852052745896,1,true,Product,356
7852052746053,1,true,Product,357
7852052746053az,3,true,Offer,243
7852052746053gr,3,true,Offer,244
7852052746053na,3,true,Offer,245
7852052746053pi,3,true,Offer,246
7852052746084,1,true,Product,358
7852052746084az,3,true,Offer,247
7852052746084gr,3,true,Offer,248
7852052746084ne,3,true,Offer,249
7852052746084ro,3,true,Offer,250
7852052746718,1,true,Product,359
7852052746718ce,3,true,Offer,251
7852052746978,1,true,Product,360
7852052746985,1,true,Product,361
7852052746992,1,true,Product,362
7852052746992az,3,true,Offer,252
7852052746992pi,3,true,Offer,253
7852052746992ro,3,true,Offer,254
7852052747012,1,true,Product,363
7852052747050,1,true,Product,364
7852052747050la,3,true,Offer,255
7852052747050lc,3,true,Offer,256
7852052747050mg,3,true,Offer,257
7852052747074,1,true,Product,365
7852052747395,1,true,Product,366
7852052751279,1,true,Product,367
7852052751279ce,3,true,Offer,258
7852052751279na,3,true,Offer,259
7852052751279pi,3,true,Offer,260
7852052751279ro,3,true,Offer,261
7852052760219,1,true,Product,368
7852052760219ap,3,true,Offer,262
7852052760219az,3,true,Offer,263
7852052760219gr,3,true,Offer,264
7852052761322,1,true,Product,369
7852052770270,1,true,Product,370
7852052770270ap,3,true,Offer,265
7852052770270ca,3,true,Offer,266
7852052770270ne,3,true,Offer,267
7852052770287,1,true,Product,371
7852052770287pi,3,true,Offer,268
7852052770294,1,true,Product,372
7852052770294aa,3,true,Offer,269
7852052770294az,3,true,Offer,270
7852052770294bb,3,true,Offer,271
7852052770294ca,3,true,Offer,272
7852052770294gr,3,true,Offer,273
7852052770294pi,3,true,Offer,274
7852052770362,1,true,Product,373
7852052770362Laz,3,true,Product,374
7852052770362Lne,3,true,Product,375
7852052770362Maz,3,true,Product,376
7852052770362Mne,3,true,Product,377
7852052770362Saz,3,true,Product,378
7852052770362Sne,3,true,Product,379
7861167901011,1,true,Product,380
7861167939410,1,true,Product,381
7861167966027,1,true,Product,382
7861167966072,1,true,Product,383
7877770600463,1,true,Product,384
7877770607028,1,true,Product,385
7877770607035,1,true,Product,386
7877770650994,1,true,Product,387
7877770650994az,3,true,Offer,275
7877770650994gr,3,true,Offer,276
7877770650994ne,3,true,Offer,277
7877770650994ro,3,true,Offer,278
7898275011479,1,true,Product,388
7898275011493,1,true,Product,389
7898275011516,1,true,Product,390
7898275015194,1,true,Product,391
7898275015965,1,true,Product,392
7898275015989,1,true,Product,393
7898937402010,1,true,Product,394
8030030159517,1,true,Product,395
8030030159517AA,3,true,Offer,279
8030030159517BB,3,true,Offer,280
8030030159517CC,3,true,Offer,281
8030030159517DD,3,true,Offer,282
8040030160963,1,true,Product,396
8080030150410,1,true,Product,397
8080030150410az,3,true,Offer,283
8080030150410ne,3,true,Offer,284
8080030150410ro,3,true,Offer,285
8080030150410ve,3,true,Offer,286
810381033548,2,true,Product,398
810381033555,2,true,Product,399
810381033562,2,true,Product,400
810381033579,2,true,Product,401
810381033586,2,true,Product,402
810381033593,2,true,Product,403
810381033609,2,true,Product,404
810381033616,2,true,Product,405
810381033623,2,true,Product,406
810381033692,2,true,Product,407
810381035450,2,true,Product,408
810381035467,2,true,Product,409
810381035474,2,true,Product,410
810381035498,2,true,Product,411
810381035504,2,true,Product,412
810381039939,2,true,Product,413
8280030157567,1,true,Product,414
8280030157567Laz,3,true,Product,415
8280030157567Lna,3,true,Product,416
8280030157567Lne,3,true,Product,417
8280030157567Lro,3,true,Product,418
8280030157567Xaz,3,true,Product,419
8280030157567Xna,3,true,Product,420
8280030157567Xne,3,true,Product,421
8280030157567Xro,3,true,Product,422
8434485146281,1,true,Product,423
8434485146281aq,3,true,Offer,287
